name,first_name,last_name,description,house
Hannah Abbott,Hannah,Abbott   ,Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army.,Hufflepuff
Ludo Bagman,Ludo,Bagman   ,Head of the Department of Magical Games and Sports within the Ministry of Magic.,
Bathilda Bagshot,Bathilda,Bagshot   ,"Author of A History of Magic, and the great aunt of Gellert Grindelwald.",
Katie Bell,Katie,Bell   ,Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.,Gryffindor
Cuthbert Binns,Cuthbert,Binns   ,"ghost, History of Magic professor.",
Phineas Nigellus Black,Phineas,Nigellus Black  ,Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.,Slytherin
Sirius Black,Sirius,Black   ,Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.,Gryffindor
Walburga Black,Walburga,Black   ,"Mother of Sirius and Regulus Black. Her portrait hangs in Number 12, Grimmauld Place.",Slytherin
Amelia Bones,Amelia,Bones   ,"Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort.",
Susan Bones,Susan,Bones   ,Hufflepuff student in Harry's year. Member of Dumbledore's Army.,Hufflepuff
Terry Boot,Terry,Boot   ,Ravenclaw student in Harry's year. Member of Dumbledore's Army.,Ravenclaw
Lavender Brown,Lavender,Brown   ,Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.,Gryffindor
Millicent Bulstrode,Millicent,Bulstrode   ,Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.,Slytherin
Charity Burbage,Charity,Burbage   ,Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.,
Frank Bryce,Frank,Bryce   ,Muggle gardener for the Riddle family. Killed by Lord Voldemort.,
Alecto Carrow,Alecto,Carrow   ,"Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape.",
Amycus Carrow,Amycus,Carrow   ,"Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape.",
Reginald Cattermole,Reginald,Cattermole   ,Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.,
Cho Chang,Cho,Chang   ,"Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army.",Ravenclaw
Penelope Clearwater,Penelope,Clearwater   ,Ravenclaw prefect and girlfriend of Percy Weasley.,Ravenclaw
Mrs. Cole,Mrs.,Cole   ,Matron of the orphanage where Tom Riddle lived.,
Michael Corner,Michael,Corner   ,Ravenclaw student in Harry's year. Member of Dumbledore's Army.,Ravenclaw
Crabbe,Crabbe,   ,Death Eater and father of Vincent Crabbe.,Slytherin
Vincent Crabbe,Vincent,Crabbe   ,Slytherin student in Harry's year and the son of a Death Eater. Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell.,Slytherin
Colin Creevey,Colin,Creevey   ,"Muggle-born Gryffindor student one year below Harry. Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts.",Gryffindor
Dennis Creevey,Dennis,Creevey   ,"Muggle-born Gryffindor student three years below Harry. Younger brother of Colin Creevey, and member of Dumbledore's Army.",Gryffindor
Dirk Cresswell,Dirk,Cresswell   ,"Muggle-born Head of the Goblin Liaison Office, went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed.",
Barty Crouch Jr,Barty,Crouch Jr  ,"Death Eater credited with facilitating the return of Lord Voldemort. Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss.",
Roger Davies,Roger,Davies   ,Ravenclaw Quidditch Captain and Chaser. Attended Yule Ball with Fleur Delacour.,Ravenclaw
John Dawlish,John,Dawlish   ,an Auror.,
Fleur Delacour,Fleur,Delacour   ,Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons. Later married Bill Weasley.,
Gabrielle Delacour,Gabrielle,Delacour   ,Fleur's younger sister. Rescued by Harry during the Triwizard Tournament.,
Dedalus Diggle,Dedalus,Diggle   ,Member of the Order of the Phoenix who took the Dursleys into hiding.,
Amos Diggory,Amos,Diggory   ,Cedric Diggory's father. Employee of the Department for the Regulation and Control of Magical Creatures.,
Cedric Diggory,Cedric,Diggory   ,"Hufflepuff student and prefect two years above Harry. Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command.",Hufflepuff
Elphias Doge,Elphias,Doge   ,School friend of Albus Dumbledore.,
Antonin Dolohov,Antonin,Dolohov   ,"Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin.",
Aberforth Dumbledore,Aberforth,Dumbledore   ,Brother of Albus and Ariana Dumbledore. Owner of the Hog's Head tavern.,
Albus Dumbledore,Albus,Dumbledore   ,"Transfiguration professor in Tom Riddle's time, and Hogwarts headmaster in Harry Potter's time. Founder of the Order of the Phoenix. Killed by Severus Snape on Dumbledore's request.",Gryffindor
Ariana Dumbledore,Ariana,Dumbledore   ,"Sister of Albus and Aberforth Dumbledore, killed in three-way duel between her brothers and Gellert Grindelwald.",
Kendra Dumbledore,Kendra,Dumbledore   ,"Wife of Percival Dumbledore. Mother of Albus, Aberforth and Ariana Dumbledore.",
Percival Dumbledore,Percival,Dumbledore   ,"Husband of Kendra Dumbledore, father of Albus, Aberforth and Ariana Dumbledore.",
Dudley Dursley,Dudley,Dursley   ,"Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter.",
Marge Dursley,Marge,Dursley   ,Muggle sister of Vernon Dursley.,
Petunia Dursley,Petunia,Dursley   ,"Harry's aunt, and his mother Lily's sister.  Vernon's wife and Dudley's mother.",
Vernon Dursley,Vernon,Dursley   ,Harry Potter's Muggle uncle. Petunia's husband and Dudley's father.,
Marietta Edgecombe,Marietta,Edgecombe   ,Ravenclaw student one year above Harry. Member of Dumbledore's Army who later betrays the group to Dolores Umbridge.,Ravenclaw
Arabella Figg,Arabella,Figg   ,Squib neighbor of the Dursleys. Member of the Order of the Phoenix.,
Argus Filch,Argus,Filch   ,Squib caretaker of Hogwarts.,
Justin Finch-Fletchley,Justin,Finch-Fletchley   ,Muggle-born Hufflepuff student in Harry's year. Member of Dumbledore's Army.,Hufflepuff
Seamus Finnigan,Seamus,Finnigan   ,Gryffindor student in Harry's year. Member of Dumbledore's Army and best friend of housemate Dean Thomas.,Gryffindor
Marcus Flint,Marcus,Flint   ,Slytherin Quidditch captain.,Slytherin
Mundungus Fletcher,Mundungus,Fletcher   ,Common thief and shifty Order of the Phoenix member.,
Filius Flitwick,Filius,Flitwick   ,Head of Ravenclaw House and Charms professor at Hogwarts.,Ravenclaw
Florean Fortescue,Florean,Fortescue   ,Ice cream vendor at Diagon Alley.,
Cornelius Fudge,Cornelius,Fudge   ,Minister for Magic in the first five books. Sacked after persistently denying Lord Voldemort's return.,
Marvolo Gaunt,Marvolo,Gaunt   ,"The pure-blood father of Merope and Morfin Gaunt, and grandfather of Tom Marvolo Riddle.",
Merope Gaunt,Merope,Gaunt   ,Tom Riddle's mother who died in childbirth.,
Morfin Gaunt,Morfin,Gaunt   ,"Marvolo's son and Merope's brother. Framed by his nephew Tom Riddle for Muggle killings, and died in Azkaban.",
Anthony Goldstein,Anthony,Goldstein   ,Ravenclaw student in Harry's year. Member of Dumbledore's Army.,Ravenclaw
Goyle,Goyle,   ,Death Eater and father of Gregory Goyle.,Slytherin
Gregory Goyle,Gregory,Goyle   ,Slytherin student in Harry's year. Slytherin Quidditch Beater and member of the Inquisitorial Squad.,Slytherin
Hermione Granger,Hermione,Granger   ,Muggle-born Gryffindor student in Harry's year and one of his best friends. Prefect and co-founder of Dumbledore's Army.,Gryffindor
Gregorovitch,Gregorovitch,   ,highly regarded Eastern European wandmaker.,
Fenrir Greyback,Fenrir,Greyback   ,Werewolf working for the Death Eaters.,
Gellert Grindelwald,Gellert,Grindelwald   ,Dark wizard who was jailed after Albus Dumbledore defeated him in the 1940s.,
Wilhelmina Grubbly-Plank,Wilhelmina,Grubbly-Plank   ,Substitute Care of Magical Creatures professor during Harry's fourth and fifth years.,
Rubeus Hagrid,Rubeus,Hagrid   ,"Half-giant Hogwarts gamekeeper, and Care of Magical Creatures professor starting in Harry's third year. Member of the Order of the Phoenix. As a Hogwarts student, he was expelled in his third year.",Gryffindor
Rolanda Hooch,Rolanda,Hooch   ,Hogwarts flying instructor and Quidditch referee.,
Mafalda Hopkirk,Mafalda,Hopkirk   ,Witch who works in the Ministry of Magic. Impersonated by Hermione Granger.,
Angelina Johnson,Angelina,Johnson   ,Gryffindor student two years above Harry. Quidditch Chaser and later team captain.,Gryffindor
Lee Jordan,Lee,Jordan   ,Gryffindor student two years above Harry. Hogwarts Quidditch commentator and good friend of Fred and George Weasley.,Gryffindor
Igor Karkaroff,Igor,Karkaroff   ,Reformed Death Eater. Headmaster of wizarding school Durmstrang.,
Viktor Krum,Viktor,Krum   ,Bulgarian Quidditch Seeker and Durmstrang student who participated in the Triwizard Tournament.,
Silvanus Kettleburn,Silvanus,Kettleburn   ,Care of Magical Creatures teacher until Harry's third year.,Hufflepuff
Bellatrix Lestrange,Bellatrix,Lestrange   ,Cousin of Sirius Black. Death Eater who tortured Neville Longbottom's parents Frank and Alice into insanity. Killed by Molly Weasley during the Battle of Hogwarts.,Slytherin
Rabastan Lestrange,Rabastan,Lestrange   ,Death Eater. Brother of Rodolphus Lestrange.,
Rodolphus Lestrange,Rodolphus,Lestrange   ,Death Eater. Bellatrix's husband and Rabastan's brother.,Slytherin
Gilderoy Lockhart,Gilderoy,Lockhart   ,Fraudulent celebrity author and Defence Against the Dark Arts teacher. Lost his memory after a memory charm backfired and resided in St. Mungo's afterwards.,Ravenclaw
Alice and Frank Longbottom,Alice,and Frank Longbottom ,Neville Longbottom's parents. Aurors and members of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange.,
Augusta Longbottom,Augusta,Longbottom   ,"Frank's mother and Neville's grandmother, who raises him after his parents are incapacitated.",
Neville Longbottom,Neville,Longbottom   ,Gryffindor student in Harry's year. Member of Dumbledore's Army.,Gryffindor
Luna Lovegood,Luna,Lovegood   ,Xenophilius Lovegood's daughter and Ravenclaw student one year below Harry. Member of Dumbledore's Army and wife of Newt Scamander's grandson Rolf.,Ravenclaw
Xenophilius Lovegood,Xenophilius,Lovegood   ,Luna's father. Editor of tabloid magazine The Quibbler.,Ravenclaw
Remus Lupin,Remus,Lupin   ,"Lycanthropic Gryffindor student before Harry's time who befriended Sirius Black and James Potter. Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix. He and his wife Nymphadora Tonks gave birth to a son, Teddy, before dying in the Battle of Hogwarts.",Gryffindor
Teddy Lupin,Teddy,Lupin   ,"Son of Remus Lupin and Nymphadora Tonks, and Harry's godson.",Hufflepuff
Walden Macnair,Walden,Macnair   ,Death Eater and Committee of Disposal of Dangerous Creatures' executioner. Injured badly by Hagrid during the Battle of Hogwarts.,
Draco Malfoy,Draco,Malfoy   ,"Slytherin student in Harry's year. Quidditch Seeker, prefect, and member of the Inquisitorial Squad.",Slytherin
Lucius Malfoy,Lucius,Malfoy   ,Draco's father and an influential Death Eater. Governor of Hogwarts early in the series.,Slytherin
Narcissa Malfoy,Narcissa,Malfoy   ,Lucius' wife and Draco's mother. Sister of Bellatrix Lestrange and Andromeda Tonks.,Slytherin
Scorpius Malfoy,Scorpius,Malfoy   ,Son of Draco Malfoy and Astoria Greengrass.,Slytherin
Madam Malkin,Madam Malkin,Malkin   ,Clothing shop owner in Diagon Alley.,
Griselda Marchbanks,Griselda,Marchbanks   ,"Governor of the Wizarding Examinations Authority which ran the O.W.L, N.E.W.T., and W.O.M.B.A.T. exams. Wizengamot elder.",
Olympe Maxime,Olympe,Maxime   ,Half-giantess. Headmistress of Beauxbatons.,
Ernie Macmillan,Ernie,Macmillan   ,Hufflepuff student in Harry's year. Prefect and member of Dumbledore's Army.,Hufflepuff
Minerva McGonagall,Minerva,McGonagall   ,"Hogwarts Transfiguration professor, Head of Gryffindor House, Deputy Headmistress of Hogwarts, and member of the Order of the Phoenix. Assumes position of Hogwarts Headmaster for a time after Voldemort's death.",Gryffindor
Cormac McLaggen,Cormac,McLaggen   ,Gryffindor student one year above Harry Potter. Quidditch Keeper and member of Horace Slughorn's Slug Club.,Gryffindor
Graham Montague,Graham,Montague   ,Slytherin Quidditch Chaser who became trapped inside a Vanishing Cabinet for six months.,Slytherin
Alastor (Mad-Eye) Moody,Alastor,(Mad-Eye) Moody  ,Retired Auror and member of the Order of the Phoenix. Impersonated by Barty Crouch Jr. in his scheme to enter Harry into the Triwizard Tournament. Killed by Voldemort.,
Theodore Nott,Theodore Nott,Nott   ,"Slytherin student in the same year as Harry Potter, and son of a Death Eater.",Slytherin
Bob Ogden,Bob,Ogden   ,Leader of the Department of Magical Law Enforcement Squad in the 1920s. Turned the Gaunt family over to the Wizengamot for using magic in front of a Muggle. Died before Harry Potter's sixth year.,
Garrick Ollivander,Garrick,Ollivander   ,"Wandmaker and owner of the Ollivanders wand shop. Kidnapped by the Malfoy family for several months until freed by Harry, Ron, and Hermione.",Ravenclaw
Pansy Parkinson,Pansy,Parkinson   ,Slytherin student in Harry's year. Prefect and member of the Inquisitorial Squad.,Slytherin
Padma Patil,Padma,Patil   ,"Ravenclaw student in Harry's year. Identical twin sister of Gryffindor student Parvati Patil, and a member of Dumbledore's Army.",Ravenclaw
Parvati Patil,Parvati,Patil   ,Gryffindor student in Harry's year and Padma's identical twin sister. Member of Dumbledore's Army.,Gryffindor
Peter Pettigrew,Peter,Pettigrew   ,"Death Eater and former school friend of James Potter, Sirius Black and Remus Lupin. Betrays Harry's parents James and Lily Potter to Voldemort, resulting in their deaths. Pettigrew is first introduced in the series as Ron Weasley's pet rat Scabbers. He is strangled to death by his own metal prosthetic hand after his loyalty towards Voldemort wavers upon Harry confronting him about having previously spared Pettigrew's life.",Gryffindor
"Antioch, Cadmus, and Ignotus Peverell","Antioch,","Cadmus, and Ignotus Peverell","Three brothers who were the original owners of the Elder Wand, the Resurrection Stone, and the Invisibility Cloak, respectively.",
Irma Pince,Irma,Pince   ,Hogwarts librarian.,
Sturgis Podmore,Sturgis,Podmore   ,Member of the Order of the Phoenix.,
Poppy Pomfrey,Poppy,Pomfrey   ,Hogwarts school nurse.,
Harry Potter,Harry,Potter   ,"The main character of the series. Orphaned son of James and Lily Potter, and Gryffindor student at Hogwarts. The husband of Ginny Weasley, father of James Sirius, Albus Severus and Lily Luna Potter.",Gryffindor
James Potter,James,Potter   ,Harry Potter's father and member of the Order of the Phoenix. Killed along with his wife Lily by Lord Voldemort prior to the start of the series.,
Lily Potter,Lily,Potter   ,Harry Potter's mother and member of the Order of the Phoenix. Killed by Lord Voldemort.,
Quirinus Quirrell,Quirinus,Quirrell   ,Defence Against the Dark Arts professor in Harry Potter's first year. Possessed by Lord Voldemort.,Ravenclaw
Helena Ravenclaw/The Grey Lady,Helena Ravenclaw/The Grey Lady,Ravenclaw/The Grey Lady ,"Daughter of house founder Rowena Ravenclaw. Stole and hid her mother's diadem, and became Ravenclaw's house ghost after being killed by the Bloody Baron.",
Mary Riddle,Mary,Riddle   ,"Thomas Riddle's Muggle wife, and Tom Riddle Sr.'s mother. Killed by her grandson, Lord Voldemort.",
Thomas Riddle,Thomas,Riddle   ,Mary's Muggle husband and Tom Riddle Sr.'s father. Killed by Voldemort.,
Tom Marvolo Riddle,Tom,Marvolo Riddle  ,Slytherin student who became Lord Voldemort.,Slytherin
Demelza Robins,Demelza,Robins   ,Gryffindor student and Quidditch Chaser.,Gryffindor
Augustus Rookwood,Augustus,Rookwood   ,Death Eater and spy working in the Department of Mysteries.,
Thorfinn Rowle,Thorfinn,Rowle   ,Death Eater.,
Albert Runcorn,Albert,Runcorn   ,Ministry of Magic employee whose chief function was as an investigator of alleged Muggle-borns.,
Newt Scamander,Newt,Scamander   ,Magizoologist and author of Fantastic Beasts and Where to Find Them. Main character in the Fantastic Beasts film series. Expelled Hogwarts student who excels in curing different sicknesses.,Hufflepuff
Rufus Scrimgeour,Rufus,Scrimgeour   ,Head of the Auror Office who replaces Cornelius Fudge as Minister for Magic. Killed by Death Eaters.,
Kingsley Shacklebolt,Kingsley,Shacklebolt   ,Auror and member of the Order of the Phoenix. Replaces Pius Thicknesse as Minister for Magic.,
Stan Shunpike,Stan,Shunpike   ,Conductor of the triple-decker Knight Bus. Jailed in Azkaban on suspicions of being a Death Eater.,
Aurora Sinistra,Aurora,Sinistra   ,Astronomy professor at Hogwarts.,
Rita Skeeter,Rita,Skeeter   ,Reporter and tabloid journalist for the Daily Prophet.,
Horace Slughorn,Horace,Slughorn   ,"Former Hogwarts Potions professor and Head of Slytherin House, whose charges included Tom Riddle. Returned to Hogwarts to teach Potions in Harry's sixth year.",Slytherin
Salazar Slytherin,Salazar Slytherin,Slytherin   ,"One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Slytherin house.",Slytherin
Zacharias Smith,Zacharias,Smith   ,Hufflepuff Quidditch Chaser in Harry's year. Member of Dumbledore's Army.,Hufflepuff
Severus Snape,Severus,Snape   ,"Potions and later Defence Against the Dark Arts professor at Hogwarts. Head of Slytherin House, and member of both the Death Eaters and the Order of the Phoenix as a double agent spying for Dumbledore.",Slytherin
Alicia Spinnet,Alicia,Spinnet   ,Gryffindor student two years above Harry. Quidditch Chaser and member of Dumbledore's Army.,Gryffindor
Pomona Sprout,Pomona,Sprout   ,Hogwarts Herbology professor and Head of Hufflepuff House.,Hufflepuff
Pius Thicknesse,Pius,Thicknesse   ,Minister for Magic while under the Imperius Curse. Replaced by Kingsley Shacklebolt.,
Dean Thomas,Dean,Thomas   ,Gryffindor student in Harry's year. Member of Dumbledore's Army.,Gryffindor
Andromeda Tonks,Andromeda,Tonks   ,"Sister of Bellatrix Lestrange and Narcissa Malfoy, and the mother of Nymphadora Tonks. Disowned by her family for marrying Muggle-born Ted Tonks.",Slytherin
Nymphadora Tonks,Nymphadora,Tonks   ,"Ted and Andromeda's daughter. Auror and member of the Order of the Phoenix. She marries Remus Lupin and becomes the mother of a son, Teddy, before she and Remus are killed in the Battle of Hogwarts.",Hufflepuff
Ted Tonks,Ted,Tonks   ,"Andromeda's Muggle-born husband, and the father of Nymphadora Tonks. Killed by Snatchers.",
Sybill Trelawney,Sybill,Trelawney   ,Hogwarts Divination professor. Predicted the prophecy that prompted Lord Voldemort to go after the Potters.,Ravenclaw
Wilkie Twycross,Wilkie,Twycross   ,Hogwarts Apparition instructor who works in the Department of Magical Transportation.,
Dolores Umbridge,Dolores,Umbridge   ,"Senior Undersecretary to the Minister for Magic, Hogwarts High Inquisitor and temporary Headmistress of Hogwarts. She becomes Defence Against the Dark Arts professor in Harry Potter's fifth year, and joins in the persecution of half-bloods and Muggle-borns under Voldemort. Sentenced to life imprisonment in Azkaban.",Slytherin
Emmeline Vance,Emmeline,Vance   ,Member of the Order of the Phoenix. Killed by Death Eaters.,
Romilda Vane,Romilda,Vane   ,Gryffindor student who unsuccessfully tries to romance Harry.,Gryffindor
Septima Vector,Septima,Vector   ,Arithmancy professor at Hogwarts.,
Myrtle Warren/Moaning Myrtle,Myrtle,Warren/Moaning Myrtle  ,"Muggle-born Ravenclaw student during Tom Riddle's time at Hogwarts. Killed by the Basilisk in a girls' bathroom, which she continued to haunt after her death.",
Arthur Weasley,Arthur,Weasley   ,"Muggle-obsessed Ministry of Magic employee, and member of the Order of the Phoenix. Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley.",Gryffindor
Bill Weasley,Bill,Weasley   ,"Oldest son of Arthur and Molly Weasley, and Gringotts employee. Marries Fleur Delacour.",Gryffindor
Charlie Weasley,Charlie,Weasley   ,Second son of Arthur and Molly Weasley. Member of the Order of the Phoenix. Works with dragons in Romania.,Gryffindor
Fred Weasley,Fred,Weasley   ,"Son of Arthur and Molly Weasley and identical twin brother of George Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army, later co-owner of joke shop Weasleys' Wizard Wheezes. Killed in the Battle of Hogwarts.",Gryffindor
George Weasley,George,Weasley   ,Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army. Co-owner of Weasleys' Wizard Wheezes.,Gryffindor
Ginny Weasley,Ginny,Weasley   ,"Only daughter and youngest child of Arthur and Molly Weasley. Gryffindor student one year below Harry, Quidditch Seeker and Chaser, and member of Dumbledore's Army. Wife of Harry Potter.",Gryffindor
Hugo Weasley,Hugo,Weasley   ,"Son of Ron Weasley and Hermione Granger, brother of Rose Weasley.",
Molly Weasley,Molly,Weasley   ,"Wife of Arthur Weasley and mother of Bill, Charlie, Percy, Fred, George, Ron, and Ginny. Member of the Order of the Phoenix.",Gryffindor
Percy Weasley,Percy,Weasley   ,"Third son of Arthur and Molly Weasley. Gryffindor prefect and Head Boy, then Ministry of Magic employee, during which he becomes estranged from his family before joining them in fighting the Death Eaters in the Battle of Hogwarts.",Gryffindor
Ron Weasley,Ron,Weasley   ,"Youngest son of Arthur and Molly Weasley who is best friends with Harry Potter and Hermione Granger. Gryffindor Quidditch Keeper, prefect, and member of Dumbledore's Army.",Gryffindor
Oliver Wood,Oliver,Wood   ,Gryffindor Quidditch Keeper and captain four years above Harry.,Gryffindor
Rose Weasley,Rose,Weasley   ,Daughter of Ron Weasley and Hermione Granger. Sister of Hugo Weasley.,Gryffindor
Corban Yaxley,Corban,Yaxley   ,Death Eater. Head of Magical Law Enforcement under Voldemort's regime.,
Blaise Zabini,Blaise,Zabini   ,Slytherin student in Harry's year.,Slytherin
Aragog,Aragog,   ,Giant spider raised by Rubeus Hagrid and lived in the Forbidden Forest.,
Bane,Bane,   ,"Centaur, not very wizard-friendly.",
Beedle the Bard,Beedle the Bard,the Bard  ,Author of several wizarding fairy tales including The Tale of the Three Brothers.,
The Bloody Baron,The Bloody Baron,Bloody Baron  ,"Slytherin House ghost. Suitor of Helena Ravenclaw before killing her in a fit of blind rage, then commits suicide in remorse.",Slytherin
Bogrod,Bogrod,   ,"Head goblin at Gringotts Wizarding Bank. Put under the Imperius curse when Harry, Ron, and Hermione break into Gringotts.",
Buckbeak,Buckbeak,   ,"Hippogriff belonging at various times to Hagrid, Sirius Black and Harry Potter.",
Sir Cadogan,Sir,Cadogan   ,Armored and somewhat mad knight occupying a painting in Hogwarts.,Gryffindor
Crookshanks,Crookshanks,   ,Intelligent cat belonging to Hermione Granger.,
Dobby,Dobby,   ,House-elf originally belonging to the Malfoy family until he is set free by Harry in Chamber of Secrets.,
Errol,Errol,   ,Owl belonging to the Weasley family.,
Fang,Fang,   ,Hagrid's pet boarhound.,
The Fat Friar,The Fat Friar,Fat Friar  ,Hufflepuff House ghost.,Hufflepuff
The Fat Lady,The Fat Lady,Fat Lady  ,Witch in the painting concealing the entrance to the Gryffindor common room.,
Fawkes,Fawkes,   ,Phoenix belonging to Albus Dumbledore. Saved Harry Potter from the Basilisk inside the Chamber of Secrets.,
Firenze,Firenze,   ,Centaur and substitute Divination professor at Hogwarts during Harry's fifth year.,
Fluffy,Fluffy,   ,Three-headed dog belonging to Hagrid and protector of the Philosopher's Stone.,
Gornuk,Gornuk,   ,"Gringotts goblin who goes on the run from Death Eaters in Deathly Hallows along with fellow goblin Griphook, plus Dean Thomas, Ted Tonks, and Dirk Cresswell.",
Grawp,Grawp,   ,Giant and Hagrid's half-brother.,
Griphook,Griphook,   ,Gringotts Bank goblin who helps Harry and his friends steal Helga Hufflepuff's cup from within the Lestrange vault.,
Hedwig,Hedwig,   ,Harry Potter's pet owl. Killed during the Battle of the Seven Potters.,
Hokey,Hokey,   ,House-elf belonging to Hepzibah Smith.,
Kreacher,Kreacher,   ,"House-elf belonging to the Black family and later Harry Potter. Though at first preferring to serve the pureblood line (including Regulus Black, Narcissa Malfoy, Bellatrix Lestrange, and Draco Malfoy), he eventually prefers serving under Harry as he treats him better.",
Magorian,Magorian,   ,A centaur.,
Great Aunt Muriel,Great,Aunt Muriel  ,The Weasley children's great-aunt.,
Nagini,Nagini,   ,Lord Voldemort's massive pet snake that does his bidding. She is one of Voldemort's Horcruxes who is ultimately slain by Neville Longbottom during the Battle of Hogwarts.,
Nearly Headless Nick,Nearly,Headless Nick  ,Gryffindor house ghost. Full name is Sir Nicholas de Mimsy-Porpington.,Gryffindor
Norbert,Norbert,   ,A baby dragon illegally owned by Hagrid who is relocated to a reserve in Romania by friends of Ron's older brother Charlie Weasley.,
Peeves,Peeves,   ,"Hogwarts poltergeist, a mischievous magical being.",
Pigwidgeon,Pigwidgeon,   ,"A tiny mischievous owl belonging to Ron Weasley. Called ""Pig"" for short.",
Madam Rosmerta,Madam Rosmerta,Rosmerta   ,Proprietor of The Three Broomsticks inn in Hogsmeade village.,
Ronan,Ronan,   ,A centaur living in the Forbidden Forest.,
Scabbers,Scabbers,   ,Ron Weasley's pet rat in the first three stories who is revealed to be a wizard in animal form: Peter Pettigrew.,Gryffindor
Scabior,Scabior,   ,"Snatcher who captures Harry, Ron and Hermione in Deathly Hallows.",Slytherin
Travers,Travers,   ,Wizard and Death Eater who escapes from Azkaban after Lord Voldemort's return.,
Trevor,Trevor,   ,Neville Longbottom's perpetually-misplaced pet toad.,
Winky,Winky,   ,"A female house-elf who belonged to Barty Crouch Sr until he sacked her, then worked in the Hogwarts kitchen.",
